caption,emotion,confidence
"But he was up to the task then, as Manchester United were caught out by a bulldozing piece of play from Emry Can and here's Coutinho. Looking for a one-two with Firrmino. Looked like he was passed, David De Gea Such a strong hand. Now Mane.",excitement,0.1106
"It's Rakitic, Iniesta came over to discuss.",realization,0.0856
Starting to consolidate all the lead Luis Suarez has given them.,realization,0.2149
"Not the sort of game that either manager would have wanted ahead of a European semifinal. I am sure Carlo Ancelotti would have loved to killed the game off at half time extended the lead to three nil rather than allowed a goal to be pulled back by Sevilla, and he must have thought that was going to happen when Ronaldo got two goals in almost a minute.",disappointment,0.1736
"Mandžukić for the most part, has been confined to that, just to. Click on clearances. Real start again.",realization,0.0985
That's gonna be Sterling for Markovic.,admiration,0.1651
Manchester City haven't hit the ball over the top of the back four of Barcelona once yet.,curiosity,0.0742
"For instance, who's going to play right back? Is he going to take Ivanovic or is he going to take Azpilicueta. He'll be making mental notes about this game.",curiosity,0.2267
A glorious return to the camp. Zlatan Ibrahimovic. Good goal. A good finish. The pressures on Luis Enrique.,excitement,0.125
A little bit of joy caused a little bit of danger at that last set piece from the corner this time as a wide free kick.,excitement,0.2325
On side and just wide. It really was.,realization,0.1376
Here's Van der Wiel. Lavezzi.,curiosity,0.0692
Maxwell. Ibrahimovic beaten to that one by Morel. Morel has got the free kick.,curiosity,0.0718
Marcelo. Varane goes low. Under.,disappointment,0.221
And now they've hit their straps in the last 15. What noise for Xavi He was good Rakitic.,curiosity,0.0985
"Well the whistle was blown it in any case. It looked for all the world as though OM were going to equalise there, let's have a look. The flicked header from Gignac.",excitement,0.173
And they will begin to think about what that Pep Guardiola was thinking that first 15 minutes just to shock tactic. The game settled down for a bit now.,surprise,0.1114
Curled in Otamendi was attacking it. Delph played it in again.,anger,0.2186
"Mane, he's so elusive, so determined. Getting into the penalty area and he was going to say the Chelsea, what are you gonna do to stop me? How you gonna stop me? They did stop him fairly enough.",excitement,0.1319
Thiago's gonna be a bit lucky to get away with that.,relief,0.108
"Good closing from Liverpool. It might have been a foul, but the three players gone to the ball at the same time, put Navas under pressure.",caring,0.0961
Navs with the ball in and it almost found its way through to Aguero.,excitement,0.1338
" Its been a disapointment. Fletch, regardless of the score or whether City equaliser even go on to win the game, it's been a disappointing night performance wise.",disappointment,0.3406
"Can, crowd wanting him to go the other way, but he hasn't got eyes in the back of his head.",desire,0.1715
"That he might be the new Carlos Tevez. Manuel Pellegrini stonewalling all questions, really at the press conference last night. It's a lovely ball by Paul Pogba, he set Dybala free just came off the outside with his left foot slightly away from Joe Hart.",excitement,0.1008
May be a problem late into a half. He's works so hard. Manchester United are going,caring,0.0976
"Cazorla. They're not quite completed. [commentor] Experience with the two young centrebacks and argue not a good one, but.",disappointment,0.1575
Possibly the most appreciated players amongst the regular Barcelona supporters.,admiration,0.2785
"And of course, it's a real setback, isn't it? For Manchester City and Manuel Pellegrini.",disappointment,0.1161
Thiago Silva clearing. Throwing to Marseille Gignac  Cleverly switching the play to Payet.,realization,0.1007
"Right, with de Jong, Poli in front of him, points where he wants, it receives the ball. Bonaventura. The overlap Bonaventura able to come in field.",caring,0.1379
I think Aleix Vidal was looking forward as well. He almost apologetically shot that one.,desire,0.0883
Combination of Pique and Pedro do enough. This is Mathieu on this left side.,neutral,0.0686
Banega floats it over. There's no flag. It's an opportunity.  For Sevilla,excitement,0.0997
"There is one league table that Liverpool are top of, it's the distance covered in the Premier League going into this weekend. They have run 500 miles.",caring,0.1051
"Huge relief around this stadium, but.",relief,0.432
"Chelsea thinking having set up the goal down that side, that might be the area to approach within this meeting out here on the opposite flank. Ivanovic.",curiosity,0.0987
Certainly tells you a lot about what Klopps thinking about Moreno in terms of his trust and faith in him.,caring,0.1597
It's a lot more difficult game for United Defenders all of a sudden. You can see the complexity for Jurgen Klopp. Daniel Sturridge is a fine talent and a fantastic finisher and certainly one who's always pushing to start and doesn't always.,approval,0.095
"With James playing on the right, Isco on the left.",caring,0.0874
Lallana fell by Arbeloa.,realization,0.0654
"[inaudible] foot again, but in the penalty area. So he's to give his. Sergio Ramos on the burst, on the spin.",excitement,0.1267
"I think the big criticism of Allegri in the early weeks of the season there is the fact that tactically they've got it wrong, didn't have a number 10 and natural number 10 before Hernanes arrived. They're missing Vidal's energy in midfield as well, but.",disapproval,0.1658
"Curled a long way for a moment. Cech was a little bit worried about where it might end up. Well, I'm sure he's wearing Peter Cech. Only one side of this game so far.",nervousness,0.2977
"I suppose that's the halfways on If it stays like this, the change would be coming if you want to turn the draw into a win. Or risk losing. He'll wait.",desire,0.1304
Mike Oliver promising a free kick in a promising position.,optimism,0.2267
"Mane, nice spin round the back of Rose. Advantage play by the referee. Clyne just on his heels as Lallana played the pass. Wasn't expecting it there. It's allowed FRose to come back and. Get the ball away.",surprise,0.1227
They've got Mane and Sturridge at the moment. Liverpool.,excitement,0.1477
"Started the second half capably and really had the chance to take the lead, Manchester United but Adam Lallana sent on to try and make the difference. These moments don't help.",disappointment,0.1181
Should a discontent at what Milan are putting on for them.,disapproval,0.2117
Not many teams can when you play against Barcelona at the new camp.,realization,0.0883
Got his rewards with the goal. Looks very dangerous. Pogba's ball.,excitement,0.1414
"From our side, Giannelli Imbula is suspended today. He's played every single game this season for Marseille up until today and he gives them stability in the heart of the midfield. Lemina is going to have a tough job. Thauvin Payet.",disapproval,0.0702
"A good prospect, the pair of them. They they did some good things together. You know Janssen, yes, played as the nine. and Kane is the 10. But there were times when they swapped that about both bright players. There was promising signs last week against Crystal Palace.",optimism,0.1136
He made a goal for Ronaldo at the same end of the stadium.,caring,0.0948
Ibrahimovic. Thiago Silva.,realization,0.0737
"Neymar to Suarez to Neymar, Neymar running across David Luiz with their head uncertain of its destination, the goalkeeper.",confusion,0.1851
"I don't think Jose Mourinho's ever going to come here tonight and be expansive. At the moment if you shake down 80 minutes, you got the Ibrahimovic header and two great David De Gea saves. And here's Matip",disapproval,0.0654
Particularly when it's the right back that's got a problem with the striker Eriksen finding Janssen.,annoyance,0.1276
It goes out of play. Nothing to do for Sturaro.,disappointment,0.2912
They have to restrict the clearcut opportunities that Spurs have had in the opening 15 minutes of this one. Coutinho,excitement,0.077
And I do seem to have. A real edge in this fixture.,curiosity,0.1109
"Get the ball to him but one thing you can't do with him is go sleep. It doesn't matter how they're playing, they're always look to score goals, but Liverpool tonight have been magnificent. They really have been both aspects of the game closing down and use of ball.",caring,0.0736
"First for Real Madrid and last year for Juventus, he scored in the final. He scored in both legs of the semis. In fact he scored five.",approval,0.1068
"If you look at the quality on that bench, Navarro, seasoned pro, Iborra, Gameiro, Coke, Vitolo Dennis Suarez. Always like to see Suarez come on.",desire,0.1386
"Clichy, replaced by Kolarov. The last change for Pellegrini.",realization,0.0648
"Really has been back to his very best since the turn of the year, since Cristiano Ronaldo was voted World Player of the Year.",excitement,0.1085
"[commentor] Just to finish that point, you were making, Gary, of course you're in the Liverpool dressing room, you haven't done very well and suddenly it's 1:1 you think you're coming in at one mil down. [commentor] Sort of the sort of things that would have been said. There is. We can't play any worse. And if we do start playing well and imagine what's going to happen and they've come out in the second half with real confidence. [commentor] I don't think they imagine what actually happened could happen though.",confusion,0.1231
Oh and Rakitic who made a run into the middle there and wasn't tracked.,confusion,0.1047
I think the Real Madrid have Tony Cruz and Luka Modric just controlling the tempo of the game as a full back. You can gallop forward. It will because you know they're not really going to give the ball away very often. You're not going to get caught up. Field is Marcelo again. Kroos. Benzema . On the lower up with him.,approval,0.0751
Won by Ibrahimovic and now for Pogba. Rashford,anger,0.0912
Gary Cahill. Here's a stat of three corners for Arsenal. Very dominant display.,approval,0.0991
"You know when he makes those runs and the second one comes in behind it, which has happened so many times for Liverpool this season. There's clear space.",realization,0.1594
"It's late, isn't it? He's caught him. Yeah, just leaves his foot in it and his Mustafi giving Costa a little bit there, just bringing him down.",disappointment,0.0772
The exit signs forward. He's was going to play,excitement,0.1758
Unable to make the most of the rare opportunity for Spurs so far today.,disappointment,0.1531
"Combining with Cristiano Ronaldo and the ball into the hands of Rico halfway through the first half, still 0-0",approval,0.0923
"Wasn't involved in the first game, previously been sent off against by labour queues. The first leg of the round of 16 Arda Turan round nearly bit. Then. Well, Pepe just saw the opportunity to maybe leave a little bit on his opponent now.",curiosity,0.0752
Into number 10s there into Coutinho and then round the corner.,curiosity,0.0858
"Celebrated the club have made today's match programme, which last season cost £3.50 a time, free gift to all spectators. So nice touch. Hey. Hey.",admiration,0.1318
James Rodriguez. Just trying to roll his man.,annoyance,0.0862
"And then Everton, from 7:45, both of those on ITV 4.",curiosity,0.0842
"Arbeloa. Kroos wants it again, but. Modric takes another option, Sergio Ramos. Moving up into Liverpool territory. James Rodriguez. It's a strong red line at the moment.",desire,0.1265
"Clicked in towards Zabaleta. Jordi Alba did pretty well actually, and Zavaleta fouled him. And did well after following his.",realization,0.0887
Contrasting onside offside decisions.,realization,0.1571
"When they do get in these two, Fellaini and Herrera, They've got control. Herrera again.  Valencia's pushed on from Right back.",realization,0.1096
"Failed to score in the match that he missed last week at Burnley. Well, he's very dynamic, isn't he? He's got that. Great pace. Dribbling ability that.",caring,0.0885
The best ball through that middle 3rd for Liverpool. So many unforced errors from Liverpool.,excitement,0.0905
"There has been an element of brinksmanship about this entire Champions League campaign for Manchester City. They looked down and out in the group phase, particularly going into the last 10 minutes against Bayern Munich here. Sergio Agüero.",desire,0.0804
"He is on the Manchester City bench, as is Kevin De Bruyne, who might also be a player who could pick things up for Manchester City. But it's been a very comfortable so far for Juventus, who had a goal of their own disallowed in the first half, and here they are with Sturaro looking to threaten early and Alexander Kolarov clearing away from Manchester City. Yeah, I wouldn't expect Pellegrini to wait too long, but if the tempo ahead, the lads in the studio there talking about agency, talking about tempo and that's what it's all about this evening. If it doesn't pick up.",curiosity,0.0891
"It really was wonderful passer, Maxwell. He's gotta carry on going. He's gotta leave. Montoya. As soon as he steps on him. He's got a yard. And on Marquis knows it's just a case of whether he could bend it into that far corner. So close.",caring,0.1136
"Hazard, always offers them hope.",optimism,0.2525
Competitive Palleta it's a corner which Empoli are. Something of. The experts.,pride,0.102
Took it on the first given to Aaron Ramsey. There wasn't too much of an angle. It's a great little combination of always passes fantastic. Exactly where he wants to receive it Sanchez. And Ramsey with those little runs off the centre forward. Here's Jordan Henderson. We know is an athletic.,caring,0.107
"And again, he's positive. Takes on his man now. He's just knocked into the side, but Demichelis gets beaten far too easily here.",optimism,0.22
Speaking to fans before the game certainly work coming into the ground inspired know he felt the same thing. Martin.,realization,0.1697
"But what he did, he flicked Firmino's heel, wasn't it? Heel.",excitement,0.1178
Sergio Ramos. Kroos. Played off by.,amusement,0.0751
Agüero looking fit and sharp again. Neymar through to Suarez. Busquets with time again Iniesta. Rakitic.,desire,0.0825
See the number of. Blue shirts around Sadio Mane Anthony Taylor's letting everything go. Coutinho. Firmino. Can. Henderson. Now Clyne has got forward. Filled by Sturridge. Mane,nervousness,0.0735
"The celebration tells you how hard Real Madrid have worked. That's just the night, let alone over the other sevens, against Atletico this season.",pride,0.1789
"These balls can be dangerous.Need a delivery from Willian. Disappointing in the last two or three. A goal for Chelsea now, could really change the half Time Team talks. In both dressing rooms.",disappointment,0.2189
"Earlier today. Of course, Chelsea against West Ham to come tomorrow.",realization,0.1146
Matic Hazard,embarrassment,0.0984
Rakitic. Messi. Now Jordi Alba.,confusion,0.0895
"Raheem Sterling, such a strong player himself. Low center of gravity. Firmino going in, it looked like shoulders and that's certainly what Firmino's talking about. But I think it was just into the back of Sterling.",confusion,0.1115
"Kane battling with Lovren and winning that battle. Now he's got Christian Eriksen in support. Alli, making his way forward as well. Red shirts back in the nick of time. Rose.",excitement,0.1419
"And the flag was up anyway against the Brazilian, but a really enterprising passage of play from Liverpool. Yeah. Fabulous passage after just going one nil up. Really got the crowds out of their seats.. You just see them holding the line and Firmino's just got to time his run better. If they time their runs better Liverpool, they can pick city up on the edge of that box if they set the ball up. And that was an unfortunate ball. Adam Lallana's fifth goal of the season and he's been in good form. It's his third goal in his last four Premier League appearances but.",excitement,0.0897
Payet dispossessing Verratti Lemina. Dja Djédjé,disapproval,0.0881
"Here's David Silva. Is often the player who can inspire City and just find that little bit of moments of magic from somewhere for them. But even he's been relatively ineffective so far. Sturaro to Cuadrada. Now Pogba. Morata is available too, and Mandzukic is waiting for a cross. Sagna gets a block on that. Here's Hernanes. Now Evra.",caring,0.0759
Valdifiori. Zieliński.,amusement,0.0651
Great save it was as well. From the young German goalkeeper.,caring,0.1149
Mané wants that just rolled in behind the Nacho Monreal. They've been in that position of couple of times. And In goes Firmino.,desire,0.2753
" Kompany did really well. Their message made it absolutely sublime, run off the back of him, picked out by Suarez just enough on it. The centre back. Look at that run. Just off the back of his number. Well played Kompany in the end.",admiration,0.1158
I think he's a little embarrassed. [commentor] Something's happened. [commentor] [inaudible] The goalkeeper.,embarrassment,0.4099
"For the first time, Mario Rui tried to catch Diego Lopez off guard.",surprise,0.1231
The glittering array of talent that he's got at his disposal.,excitement,0.1462
"Godín is captaining the team tonight, with Gabby having been left out.",approval,0.0782
"Well, that was very nearly the moment. Some fantastic pass by Suarez.",excitement,0.1564
The ball was probably only in play for a a couple of minutes because.,excitement,0.0721
Janssen trying to run the channels. Lovren stuck to his task well. Lallana.,caring,0.0854
Lingard helping United out with a late challenge on Lingard. Michael Oliver produces the yellow card.,curiosity,0.0718
Here's Mathieu. Mascherano.,realization,0.0748
"Real Madrid, only down to Ten for a moment or so. Carlos Bacca",curiosity,0.0629
Company with C and Kompany with a K and I'd love to have a bit of. It's going to be missing for a month.,desire,0.2259
Be careful what you say in the press. See if you know the managers sometimes don't like it. You go against.,disapproval,0.2272
"Don't forget Champions League highlights of all the games tonight 10:00 o'clock on BT Sport Europe HD. And right now going on the goal show great Way to watch the action with all the goals as they go in from all the games around Europe are special shirt show on BT Sport, ESPN.",excitement,0.1048
"You just wonder, Gary, generally where the ruthless, brutal defenders are.",curiosity,0.4298
Obviously coming to Spain on the back of a fantastic World Cup Golden Boot winner in Brazil.,excitement,0.178
"There isn't an obvious one, no Martial.They are so deep look Rashford is, which is his own 18 yard box. Ashley Young on the opposite side so far away from the counterattack at the moment. Clyne Lallana, Henderson.",confusion,0.0712
Most of any club in the top 4 English divisions. Not too much to show for it.,neutral,0.1068
"So on comes 31 year old. Bastian Schweinsteiger, who wears Number 31 and today makes his 31st appearance for Manchester United. He will Replace Juan Mata.",realization,0.0871
But I have seen worse contests.,realization,0.1211
Moses getting another chance here at Chelsea.,desire,0.0771
"Coutinho nudging it down for Milner, not had so many chances to get forward in the second half. Room for Wijnaldum. Henderson. Coutinho, from a standing start. Good strength from Origi. Played in by Milner, out by David Luiz, then Henderson. Milner again.",curiosity,0.0875
Ivanovic couldn't get this cross in.,confusion,0.2439
Arsenal on the move here. It's Klavan.,excitement,0.0921
"It comes in towards Matic who has never scored for Chelsea at Stamford Bridge. David Luiz has, not for a while.",annoyance,0.0753
"Won back by Coutinho, a little Untidily but looked in the direction of a red shirt which belonged to Nathaniel Clyne.",surprise,0.0896
Employed him as a right back in the preparations for the match.,caring,0.1135
"Eriksen just can't keep the ball low enough, but that's better trying to get in behind Liverpool and get some crosses in, which we said earlier in the first half, is crucial when you've got two guys who want to get in the box and finish.",desire,0.111
"They don't play close to the edge at that game, Madrid, but they haven't had many players sent off in their Champions League time.",desire,0.0738
"A couple of minutes to go to halftime. What were your thoughts on the first half, Alan?",curiosity,0.2339
Suarez. Ah he's gone all the way through.,disappointment,0.0917
"Jurgen Klopp is absolutely mad at Emry Can To be fair, talking about the changes of the options were a bit limited for him. Wijnaldum out. Lallana not quite ready to come back into the starting lineup. We wonder how long he's got in him and whether he will be needed sooner rather than later.",anger,0.2723
"Such a shame, because it's just building up that. Pressure on Barcelona?",sadness,0.2884
"Hi return's come in the nick of time, Martin Skrtel on the bench as well tonight, which is a welcome sight. For Jurgen Klopp",excitement,0.1148
Firmino. Clichy there there for Manchester City.,approval,0.1056
Alaixys Romao. Thauvin first chance really to run at Maxwell. Thauvin comes inside instead and a harmless shot. I think it was probably intended as a cross.,surprise,0.0829
"BusquetsSure, James Milner relish playing left back against Messi now. And his third position of the night.",excitement,0.159
"Aguero assuming hostilities with Blind It's a count back up again,Sergio Aguero.",anger,0.1309
Belittled his strike partner earlier when he didn't square it. Just played the ball blind that.,annoyance,0.0972
He and Kolo Touré really dealing with the the brunt of the attacking. Skrtel was part of the side. That one here in 2009.,excitement,0.0804
"He's got to keep it on the floor there, isn't he? How, he's allowed it to lift and go, I do not know, but great break again from Arsenal.",relief,0.1038
It's five in all competitions now.,realization,0.1746
"Now Mendy. Mendy thinking it in, headed away by Maxwell bit of Marseille pressure now.",realization,0.0994
What a night for him even just being on the bench here as well. And Bersant Celina the Kosovo born midfield player. Yeah. Listen to the boys in the studio there. I can tell them.,excitement,0.1405
Wouldn't have been much he could have done to stop that going inside the post had Mbia been a bit more accurate. Casilla nowhere near getting to that ball as you say. It was a real opportunity for Secilla. Aleix Vidal clashing with Marcelo.,excitement,0.0928
Just a little glimpse of the third bench. It's a.,curiosity,0.1711
"couple of minutes of the first half, which changed the complexion of that game and it didn't cost them the win. Checked it out.",caring,0.1091
"Because they went over 2 legs 2/2 in the Copa del Rey, a couple of goals from Fernando Torres on the bench tonight. They got through in the coppertail rate as well, and the two one to Atletico in La Liga.",approval,0.1152
"This is a fixture that hasn't been kind to Spurs in recent times, dominated by Liverpool. Over the last few years.",disappointment,0.2496
A great save again for Morata to keep them into the game.,relief,0.1235
"Actually, for me look a little bit leggy, Spurs not the.",confusion,0.1423
What a remarkable goal from Blaise Matuidi,surprise,0.2694
Coming up on Super Sunday Crystal Palace at home to Stoke on 30 Sky Sports One.,excitement,0.1238
" touch by the defender, but actually his initial shot was going wide with his left foot.",surprise,0.1484
Mignolet as he has to be close to his goal in case it goes directly towards it.,annoyance,0.0818
"Here's more good work from Lallana, although he runs into Clichy.",curiosity,0.0719
Looking for the referee to see what corner. It's going to be taken from.,curiosity,0.2008
"Busquets, he was a real Guardiola product from the B team when they were both at that level, the Bayern coach. Right at the hub of way.",excitement,0.099
There's no doubt you see Costa there at the top of your picture in the centre screen. He's further up the field. Coutinho Pulling him is Ivanovic.,realization,0.0865
"A little bit of danger there for Marquinhos, with Suarez snapping away as far as he can. Suarez he's the one that's trying to address, trying to get the ball quickly.",nervousness,0.1179
"He did, but it was interesting that they had seven players in zonal along that 6 yard line, Liverpool and gets a run on him and just gets the header. Really got to do a little bit better.",curiosity,0.32
And these wide areas left and right fullbacks are causing problems. Both wingers are causing problems. Boateng.,disappointment,0.1211
Covered though by David Luiz. Or was he know he's lost out. Suarez. Tries to bend one.,confusion,0.1747
"Over here on the left side, just Pastore playing anything but his position is wandering everywhere. On the left. Messi, now Neymar. This is Iniesta.",confusion,0.1649
Searching ball. That almost finds Ibrahimovic well defended there by Alaixys Romao.,curiosity,0.0983
"Liverpool haven't won here at Anfield in the Premier League since Boxing Day when they beat Leicester and they start the night 9 points off the top four. Of course, the team that they're shooting at for that top four place is Manchester City. Here's Navas.",desire,0.0757
[commentor] Half time was a killer. Just thinking about how you going to change your half time as a player when you're doing quite well. The one they look. Goal goes in against you.,disappointment,0.1538
Henderson has to show now that he's got the qualities.,realization,0.3064
"Now, Sterling. Nasri. Sagna getting forward to join in.",excitement,0.1231
"Messi. Headed by Zabaleta is rather perilous, with some Kompany reacted. It is a corner- cheap corner.",annoyance,0.1473
"The biggest game of his Real Madrid career, which is seemingly coming to an end after this season, but it might end, of course, in Berlin. The Champions League final takes place. Sergio Ramos.",excitement,0.1011
"There other time was this fixture last season, it was Callum Chambers and Gabrielle and Gabrielle is out injured at the moment. Would have been",confusion,0.0833
[commentor] Liverpool were 4:1 up.,realization,0.0921
Kroos. Modric.,pride,0.0879
"Yeah, I mean, it is just about on the line. He's going into the box. So it's a penalty.",realization,0.0797
[announcer]Substittuion for Alex Iwobi for Alex Oxlade-Chamberlain. [commentor]Chamberlain on his 23rd birthday [commentor]Couldn't shell it have done anything about those two goals. They were absolutely brilliant. Team goals from Liverpool. Precision.,caring,0.1102
Kompany challenged unfairly this time by Lallana.,anger,0.0984
"And system Manuel Pellegrini opts for. Three centre forwards on at once so early in the game needs most, I suppose.",desire,0.0981
Rafinha is the younger brother.,realization,0.0841
It's a really good finish. Sirigu going to his left. Gignac,excitement,0.1402
"But another goal has gone in that may well affect the title picture Arsenal 1-1 Swansea, Wayne Routledge with the equaliser, Joel Campbell had the early goal in that one. Swansea of course needing goals and points at the bottom of the Barclays Premier League table. 0-0 here 18.5 minutes gone or there about at anfield and Liverpool have made the better start.",confusion,0.0788
necesscity obviously of the club is that they've got to win games straight away. I think that they do lose today would come under some pressure Arsene Wenger.,desire,0.0757
Snap shot. By Ivan Rakitic,excitement,0.1217
Pepe. Varane.,approval,0.0783
Here's Pique. He's one of those who according,pride,0.0767
Good piece of play by Emry Can. Took off Anthony Taylor for Coutinho. Milner had a chance to win it back and he's just buying into a mistake and Coutinho. He will get it again here. Possibilities now for Liverpool.,excitement,0.1236
"Certainly, Luis Enrique will be scanning it just like you just see what it might mean, but it might. The plan might be under threat straight away, but the flag is up for offside.",curiosity,0.125
Montoya. Rakitic.,approval,0.0852
"There's a bit of discussion before the Teamsheets came out today as to whether Olivier Giroud might be on it from the start, bearing in mind he was given a rest in midweek in the League Cup At Forest?",curiosity,0.2247
Just trying to pick out Marcus Rashford in the middle.,curiosity,0.1282
A lot of screwed up papers being thrown on and. While the choreography. Displayed.,confusion,0.1482
Frustration for Pastore. Wait. He given a foul away that.,annoyance,0.2741
What challenge there the follow up challenge by Fernandinho was as important as the challenge we saw from Chiellini in the opening moments of the first half.,curiosity,0.1194
"Coleman, again looking to bend one.",curiosity,0.1709
"Mesut Ozil turns Kante rarely, rarely comfortably. This is a great shot. Turns Kante, Look at Ivanovic. Look at Azpilicueta. They're not bothered about getting back. Really are they? And then it's two on two movements on side. Clear as you like. Where's Ozil? Well, nobody's picking him up for the one-two, gets a bit fortunate banging into the goal, but when you're breaking forward, that pace and nobody's picking it up, you'll get your fortune. 3-0 Absolutely walk in the park this 40 minutes of this game. That's the danger as well.",excitement,0.1018
Some inspiration and a lot of injuries. Maybe this is crap. Sagna is diagnosed.,disappointment,0.1372
"Much has been made of Daniel Sturridge's role this season, of course is on the bench again today and it's Firmino who is playing is the most central of the three. Sturridge has talked about his frustration and Spurs wins free kick here given Dele Alli's way.",annoyance,0.0818
"Still, he's put in a good shift. Javier Pastore who was in action against El Salvador and Ecuador for Argentina during the international break. Rabiot will help to. Add numbers to PSG's midfield.",optimism,0.1224
"Bad news for Barcelona. Good news for Valencia, of course.",sadness,0.1751
To change you see Michael Essien and Alessio Cerci drop out of the Milan team.,disappointment,0.0808
"Courtois, easy enough, but far too deep.",relief,0.0697
What is the referee going to give? Arsenal celebrations are broken up and I think that the referee is going to rule it out as give method using the yellow card.,confusion,0.2117
It's close enough deflection and Ter Stegen's in trouble.,embarrassment,0.0989
"Here's Mangala, now Kolarov. Yaya Toure brushes Mandzukic decide and gives it to Wilfried Bony and carries on running. It was a good fullback play there from Lichsteiner, who covered across to make the challenge despite the fact that Chiellini was all over, Touré like a rat. Now Nasri. Silva.",excitement,0.1011
Here's Ibe Silva it on Henderson.,caring,0.0788
Slot in for Firmino. Silva then played it straight into Kolo Toure.,caring,0.0832
"Well, nice to sit here dropping off in numbers, but actually they're just dropping off and they're not picking up any Juventus players in between the lines. They just have to be a little bit more aware of what's in and around them. Here's Morata, who scored the winner in the first game/",confusion,0.1077
"And there's an incident here, which is left.",disappointment,0.0971
Shot by Suarez is blocked. Now Real Madrid will counter.,anger,0.0861
"David Silva with the free kick in towards Fernandinho, who got something on it, but not enough on it.",curiosity,0.101
"[commentor] there will still be some serious work ahead for Liverpool, cause Arsenal in that.",realization,0.0965
"He should do better with that pass, Henderson. It's not a difficult ball. You've got quality like he has.",caring,0.1197
"And there's some fine movement from Reyes, started the game brightly. Jose Antonio Reyes. And he's.",excitement,0.1245
